Que tu abuela vea un vídeo sexual tuyo;Que alguien lo suba a Facebook durante 30 segundos
Ser virgen hasta los 40 y después tener sexo increíble;Tener sexo mediocre toda tu vida
Que tus padres te vean teniendo relaciones sexuales;Ver a tus padres teniendo relaciones sexuales
Solo tener sexo que dure 1 minuto;Solo tener sexo que dure mínimo 6 horas seguidas
Tener sexo con tu jefe/a sin que nadie se entere;No tener sexo con tu jefe/a, pero que todos piensen que sí
Tener sexo con alguien que te cae mal, pero es muy atractivo;Tener sexo con alguien que te cae bien, pero no es atractivo
Sentir mucho placer, pero ser incapaz de darlo;No sentir placer, pero dar mucho al otro
Que tus amigos/as te vean teniendo sexo;Que circule por Internet un vídeo tuyo teniendo sexo sin que se te vea la cara
Tener sexo con cualquier persona que desees;Tener 100 millones de dólares
Una relación sin amor con el mejor sexo;Una relación llena de amor con sexo mediocre
Durar siempre más de 2 horas en la cama;Durar siempre 4 minutos
Una pareja que cocine de forma espectacular;Una pareja que sea experta en el sexo
Fingir un orgasmo delante de tu familia;Fingir un orgasmo en público
Recibir un aviso cuando tus padres tienen sexo;Que tus padres reciban un aviso siempre que tienes sexo
Gritar ‘te amo, mamá/papá’ siempre que llegas al orgasmo;Gritar el nombre de tu ex siempre que llegas al orgasmo
;No volver a tener orgasmos
Tener sexo con un/a anciano/a en privado;Tener sexo con tu pareja en público
Defecar en mitad de la calle;Tener sexo en mitad de la calle
Matar a un familiar para conseguir 1 millón de dólares;Suicidarte para terminar con todas las guerras para siempre
No tener sexo por 1 año;No usar tu celular por 4 meses
No tener pene/vagina;Tener 2 penes/vaginas
Dejar el queso;Dejar el sexo oral
Tener sexo frente a 200 extraños sin cámaras;Tener sexo en tu habitación delante de tus padres
Chupar un tampón usado que te encontraste en la calle;Chupar un condón usado que te encontraste en la calle
Comerte a tu abuela;Comerte a un vagabundo
Tener sexo con la mitad superior de Emma Watson y la parte inferior de Mr Bean;Tener sexo con la mitad superior de Mr Bean y la mitad inferior de Emma Watson
Tener una pareja a la que le guste agarrar tu caca;Tener una pareja a la que le guste beberse tu orina
